 RPM=0.0 M=LV    S=40 %=-0.3  mPas=----  N/M2=----  1/SEC=0.000 T=----C  Z00:01 
 RPM=0.0 M=LV    S=40 %=-0.3  mPas=----  N/M2=----  1/SEC=0.000 T=----C  Z00:00 
 RPM=0.0 M=LV    S=40 %=-0.3  mPas=----  N/M2=----  1/SEC=0.000 T=----C  Z00:01 
?RPM=60  M=LV    S=40 %=-0.2  mPas=----  N/M2=----  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.4  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.4  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.4  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.4  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.3  mPas=1.91  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.2  mPas=1.90  N/M2=0.86  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.1  mPas=1.90  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=37.0  mPas=1.89  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.9  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.9  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.9  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.9  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.9  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.9  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.8  mPas=1.88  N/M2=0.85  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
 RPM=60  M=LV    S=40 %=36.7  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:01 
 RPM=60  M=LV    S=40 %=36.6  mPas=1.87  N/M2=0.84  1/SEC=450   T=----C  Z00:00 
